strace.10	3378 bytes
strace.11	1577 bytes
strace.12	14361 bytes
strace.13	121 bytes
strace.14	298 bytes
strace.15	298 bytes
strace.16	298 bytes
strace.17	298 bytes
strace.18	121 bytes
strace.19	213 bytes
strace.20	365 bytes
strace.21	636 bytes
strace.22	298 bytes
strace.23	298 bytes
strace.24	298 bytes
strace.25	298 bytes
strace.26	298 bytes
strace.27	576 bytes
strace.28	2295 bytes
strace.29	524 bytes
strace.30	298 bytes
strace.31	1350 bytes
strace.32	298 bytes
strace.33	2482 bytes
strace.34	2652 bytes
strace.35	298 bytes
strace.36	741 bytes
strace.37	1136 bytes
strace.38	12620 bytes
strace.39	510 bytes
strace.40	2268 bytes
strace.41	298 bytes
strace.42	524 bytes
strace.43	746 bytes
strace.44	524 bytes
strace.45	298 bytes
strace.46	17607 bytes
strace.47	298 bytes
strace.48	121 bytes
strace.49	298 bytes
strace.50	298 bytes
strace.51	298 bytes
strace.52	298 bytes
strace.53	121 bytes
strace.54	213 bytes
strace.55	1143 bytes
strace.56	298 bytes
strace.57	298 bytes
strace.58	2738 bytes
strace.59	298 bytes
strace.60	1566 bytes
strace.61	298 bytes
strace.62	1184 bytes
strace.63	298 bytes
strace.64	2652 bytes
strace.65	1184 bytes
strace.66	852 bytes
strace.67	12620 bytes
strace.68	298 bytes
strace.69	298 bytes
strace.70	298 bytes
strace.71	298 bytes
strace.72	298 bytes
strace.73	502 bytes
strace.74	298 bytes
strace.75	452 bytes
strace.9	6886 bytes
